cross_over_date_strong,Name,mov2,mov1
2021-03-08,CAPTRUST,20.0,50.0
2021-06-04,CAPTRUST,20.0,50.0
2021-05-03,CARBORUNIV,20,50
2020-12-04,CAREERP,20.0,50.0
2021-01-15,CAREERP,20.0,50.0
2021-05-28,CAREERP,20.0,50.0
2021-04-27,CARERATING,20.0,50.0
2021-09-16,CARERATING,20.0,50.0
2021-02-04,CASTROLIND,20.0,50.0
2021-05-17,CASTROLIND,20.0,50.0
2021-02-23,CCCL,20.0,50.0
2021-03-09,CCCL,20.0,50.0
2021-05-31,CCCL,20.0,50.0
2021-05-14,CCHHL,20,50
2021-03-16,CCL,20.0,50.0
2021-04-20,CCL,20.0,50.0
2021-02-15,CDSL,20.0,50.0
2021-09-15,CDSL,20.0,50.0
2021-01-11,CEATLTD,20.0,50.0
2021-06-23,CEATLTD,20.0,50.0
2021-05-17,CEBBCO,20,50
2021-02-26,CELEBRITY,20.0,50.0
2021-05-25,CELEBRITY,20.0,50.0
2021-05-07,CENTENKA,20.0,50.0
2021-09-02,CENTENKA,20.0,50.0
2021-04-22,CENTEXT,20,50
2020-12-04,CENTRALBK,20.0,50.0
2021-02-05,CENTRALBK,20.0,50.0
2021-02-16,CENTRALBK,20.0,50.0
2021-05-19,CENTRALBK,20.0,50.0
2021-05-03,CENTRUM,20,50
2021-05-21,CENTUM,20.0,50.0
2021-07-05,CENTUM,20.0,50.0
,CENTURYPLY,20,50
2021-05-20,CENTURYTEX,20,50
2021-05-19,CERA,20,50
2020-12-07,CEREBRAINT,20.0,50.0
2021-06-01,CEREBRAINT,20.0,50.0
2021-09-06,CEREBRAINT,20.0,50.0
2020-12-04,CESC,20.0,50.0
2021-05-05,CESC,20.0,50.0
2021-09-06,CESC,20.0,50.0
2021-03-31,CGCL,20,50
2021-02-15,CGPOWER,20.0,50.0
2021-08-06,CGPOWER,20.0,50.0
2021-08-13,CGPOWER,20.0,50.0
2021-05-25,CHALET,20.0,50.0
2021-09-15,CHALET,20.0,50.0
2021-05-14,CHAMBLFERT,20,50
2021-04-26,CHEMBOND,20.0,50.0
2021-07-05,CHEMBOND,20.0,50.0
2020-12-30,CHEMCON,20.0,50.0
2021-05-07,CHEMCON,20.0,50.0
2020-12-07,CHEMFAB,20.0,50.0
2021-04-13,CHEMFAB,20.0,50.0
2021-07-06,CHEMFAB,20.0,50.0
2021-03-10,CHENNPETRO,20.0,50.0
2021-04-29,CHENNPETRO,20.0,50.0
2021-06-03,CHOLAFIN,20.0,50.0
2021-08-30,CHOLAFIN,20.0,50.0
2021-02-16,CHOLAHLDNG,20.0,50.0
2021-05-25,CHOLAHLDNG,20.0,50.0
2021-08-30,CHOLAHLDNG,20.0,50.0
2021-04-09,CIGNITITEC,20,50
2021-05-21,CINELINE,20,50
2021-04-06,CINEVISTA,20.0,50.0
2021-06-29,CINEVISTA,20.0,50.0
2020-12-16,CIPLA,20.0,50.0
2021-04-09,CIPLA,20.0,50.0
2021-09-14,CIPLA,20.0,50.0
2020-12-17,CLEDUCATE,20.0,50.0
2021-03-12,CLEDUCATE,20.0,50.0
2021-02-11,CLNINDIA,20.0,50.0
2021-04-23,CLNINDIA,20.0,50.0
,CLSEL,20,50
2020-12-08,CMICABLES,20.0,50.0
2021-02-12,CMICABLES,20.0,50.0
2021-06-03,CMICABLES,20.0,50.0
2021-02-08,COALINDIA,20.0,50.0
2021-02-25,COALINDIA,20.0,50.0
2021-05-14,COALINDIA,20.0,50.0
2021-09-13,COALINDIA,20.0,50.0
2021-03-01,COCHINSHIP,20.0,50.0
2021-05-17,COCHINSHIP,20.0,50.0
,COFFEEDAY,20,50
2021-03-15,COFORGE,20,50
2021-01-29,COLPAL,20.0,50.0
2021-03-03,COLPAL,20.0,50.0
2021-05-24,COLPAL,20.0,50.0
2021-09-15,COLPAL,20.0,50.0
2020-12-04,COMPINFO,20.0,50.0
2021-03-01,COMPINFO,20.0,50.0
2021-05-12,COMPINFO,20.0,50.0
2020-12-07,COMPUSOFT,20.0,50.0
2021-04-13,COMPUSOFT,20.0,50.0
2021-05-17,COMPUSOFT,20.0,50.0
2021-01-04,CONCOR,20.0,50.0
2021-05-11,CONCOR,20.0,50.0
2021-09-03,CONCOR,20.0,50.0
2021-04-28,CONFIPET,20.0,50.0
2021-07-14,CONFIPET,20.0,50.0
2021-07-30,CONFIPET,20.0,50.0
2021-08-16,CONFIPET,20.0,50.0
2021-02-11,CONSOFINVT,20.0,50.0
2021-02-25,CONSOFINVT,20.0,50.0
2021-03-22,CONTROLPR,20,50
2020-12-04,CORALFINAC,20.0,50.0
2021-02-26,CORALFINAC,20.0,50.0
2021-04-28,CORALFINAC,20.0,50.0
2021-02-11,CORDSCABLE,20.0,50.0
2021-05-11,CORDSCABLE,20.0,50.0
2021-05-20,COROMANDEL,20,50
2020-12-30,COSMOFILMS,20.0,50.0
2021-01-28,COSMOFILMS,20.0,50.0
2021-05-26,COUNCODOS,20,50
2021-05-27,COX&KINGS,20,50
,CRAFTSMAN,20,50
2021-06-22,CREATIVE,20,50
2020-12-14,CREATIVEYE,20.0,50.0
2021-06-08,CREATIVEYE,20.0,50.0
2021-07-26,CREATIVEYE,20.0,50.0
2021-06-02,CREDITACC,20,50
2021-05-21,CREST,20,50
2021-02-12,CRISIL,20.0,50.0
2021-03-24,CRISIL,20.0,50.0
2021-05-17,CRISIL,20.0,50.0
2021-09-17,CRISIL,20.0,50.0
2021-03-12,CROMPTON,20.0,50.0
2021-05-26,CROMPTON,20.0,50.0
2021-03-01,CSBBANK,20,50
2021-05-11,CTE,20,50
2021-05-07,CUB,20.0,50.0
